Product name,Unit Cost,SubCategory ID,Brand,Product ID
DENVER Black Code Perfume Eau de Parfum  -  60 ml,223,Subcat15,DENVER COMPNAY,TEC-PH-10001425
THE MAN COMPANY Limitless Eau de Toilette - 100ml (For ...,584,Subcat15,THE MAN COMPNAY,TEC-AC-10003265
Wild Stone Edge Perfume Eau de Parfum  -  100 ml,405,Subcat15,Wild COMPNAY,TEC-MA-10000327
FOGG Scent XTREMO Eau de Parfum  -  100 ml,397,Subcat15,FOGG,TEC-AC-10004652
"Renee Eau De Parfum Bloom, 50ml Eau de Parfum  -  50 ml",499,Subcat15,Renee Eau,TEC-AC-10000241
ENVY Natural Spray Eau de Parfum  -  60 ml,194,Subcat15,ENVY,TEC-PH-10000641
FOGG Scent Impressio 50ml Eau de Parfum  -  50 ml,242,Subcat15,FOGG COMPNAY,FUR-BAR-10004553
THE MAN COMPANY Amour | Perfume for Men | Premium Fragr...,39,Subcat15,THE MAN COMPNAY,OFF-SU-10000997
"LIBERTY Luxury Passion Perfume for Men, Long Lasting Sm...",124,Subcat15,LIBERTY,OFF-PA-10004480
FOGG Scent Tulip 50ml Eau de Parfum  -  50 ml,290,Subcat15,FOGG COMPNAY,OFF-ST-10000130
"THE MAN COMPANY Black EDT Perfume For Men (Pack of 2, 5...",669,Subcat15,THE MAN COMPNAY,OFF-BI-10000721
"PureSense Body Spray Combo (Love British Rose + Madagas...300 ml, Pack of 2",363,Subcat16,PureSense,FUR-FU-10002957
PureSense Selfie Queen Gift Box Deodorant Spray  -  For...205 ml,643,Subcat16,PureSense,OFF-BI-10001621
"DENVER Hamilton Deodorant Deodorant Spray  -  For Men400 ml, Pack of 2",333,Subcat16,DENVER,OFF-SU-10002169
"FOGG 1 Royal and 1 Napoleon Deodorant Combo Pack of 2 D...300 ml, Pack of 2",338,Subcat16,FOGG,TEC-AC-10004938
Kamasutra Spark Power series Body Spray  -  For Men & W...135 ml,185,Subcat16,Kamasutra,OFF-PA-10004746
"SET WET Cool, Charm and Swag Avatar Deodorant Spray  - ...450 ml, Pack of 3",333,Subcat16,SET WET,FUR-FU-10000246
"FOGG Master Intense (Napoleon + Royal) 240ml Body Spray...240 ml, Pack of 2",360,Subcat16,FOGG,OFF-ST-10003017
"PureSense Body Spray Combo Japanese Cherry Blossom+ Mad...300 ml, Pack of 2",363,Subcat16,PureSense,FUR-HON-10001558
"DENVER Sporting Club Victor Gift Set Deodorant Spray  -...260 ml, Pack of 2",389,Subcat16,DENVER,FUR-ELD-10004994
"NIVEA MEN 42k Deodorant, with Silver Ions Technology fo...150 ml",175,Subcat16,NIVEA,OFF-SU-10004236
"Engage Perfume Body Spray - For Women(120 ml) Deodorant...240 ml, Pack of 2",295,Subcat16,Engage,OFF-TEN-10001129
THE MAN COMPANY Non-Gas Body Perfume For Men - Noir (12...120 ml,314,Subcat16,THE MAN COMPANY,OFF-ST-10000016
"BOMBAY SHAVING COMPANY Red Spice and Black Vibe Deodora...300 ml, Pack of 2",213,Subcat16,BOMBAY,OFF-LA-10002107
"Kamasutra Spark and Urge Deodorant Spray  -  For Men150 ml, Pack of 2",180,Subcat16,Kamasutra,FUR-FU-10003874
